Cell,Type,Reason,Data
A2,Variable Name,Long name,Name the constant containing the value 45:
B2,Variable Name,Long name,Name the variable for the hourly wage during overtime pay:
C2,Variable Name,Long name,How would you call the variable holding the location of the cheese today?
D2,Variable Name,Long name,How would you call the variable (or data structure) keeping track of where has he already visited?
E2,Variable Name,Long name,How would you call the data structure describing the maze?
F2,Variable Name,Long name,How would you call the variable holding the location of the cheese today?
G2,Variable Name,Long name,How would you call the variable (or data structure) keeping track of where has he already visited?
H2,Variable Name,Long name,How would you call the data structure describing the labyrinth?
I2,Variable Name,Long name,How would you name the variable (or data structure) describing the current state of the game board?
J2,Variable Name,Long name,How would you name the variable (or data structure) describing the current state of the game grid?
K2,Variable Name,Long name,The implementation contains a class which describes a file within the system. How would you name the field describing the file’s size?
L2,Variable Name,Long name,Replace var1 with a name you would have used.
M2,Variable Name,Long name,Replace var2 with a name you would have used.
N2,Variable Name,Long name,Replace var3 with a name you would have used.
O2,Variable Name,Long name,How would you call the variable describing the state of the elevator’s door (open/closed)?
P2,Variable Name,Long name,Name the constant holding the value 4 according to its purpose.
Q2,Variable Name,Long name,Name the constant holding the value 2000 according to its purpose.
R2,Variable Name,Long name,Name the variable holding the number of benefits the client is entitled to during the current month.
S2,Function Signature,Long name,Playing requires displaying the board to the user. Propose a function signature for this purpose function_name(parameters)
T2,Function Signature,Long name,Playing requires displaying the grid to the user. Propose a function signature for this purpose (function name + parameters) function_name(parameters...)
U2,Function Signature,Long name,"The implementation includes a function that receives a file, by how much we want to increase it, and the available space on the disk, and checks whether there is enough space. Suggest a signature for this function."
V2,Function Signature,Long name,"Write an API function signature to help Ori calculate, given the quantities of ingredients he has, how many sandwiches he can produce."
W2,Function Signature,Long name,"When a customer wants to use a benefit, the system executes a function which works as follows:

Input:

   Number of benefits the customer is entitled to during the current month

   Number of benefits the customer has used during the current month

The function calculates the difference, and returns TRUE if the balance is positive.

Write a function signature for this function."
S3,Function Signature,Pattern mismatch,
T3,Function Signature,Pattern mismatch,
U3,Function Signature,Pattern mismatch,
V3,Function Signature,Pattern mismatch,
W3,Function Signature,Pattern mismatch,
S4,Function Signature,Pattern mismatch,
T4,Function Signature,Pattern mismatch,
U4,Function Signature,Pattern mismatch,
V4,Function Signature,Pattern mismatch,
W4,Function Signature,Pattern mismatch,
S5,Function Signature,Pattern mismatch,
T5,Function Signature,Pattern mismatch,
U5,Function Signature,Pattern mismatch,
V5,Function Signature,Pattern mismatch,
W5,Function Signature,Pattern mismatch,
T6,Function Signature,Pattern mismatch,
H7,Variable Name,Long name,labyrinth.traverse(cheese_location)
S7,Function Signature,Pattern mismatch,
T7,Function Signature,Pattern mismatch,
T8,Function Signature,Pattern mismatch,
U8,Function Signature,Pattern mismatch,
W8,Function Signature,Pattern mismatch,
S9,Function Signature,Pattern mismatch,
T9,Function Signature,Pattern mismatch,
U9,Function Signature,Pattern mismatch,
V9,Function Signature,"Special character: ""/""","Return min(chocolate_biscuit/2, cupsofVanilla/2, no of 20×10 sheets from available sheet)"
W9,Function Signature,Long name,"Function AvailableBalance(Max_benefits, Current_count_benefits) { return Max_benefits - Current_count_benefits} "
S10,Function Signature,Pattern mismatch,
V10,Function Signature,Long name,"int sandwich_produced(int biscuits, double vanilla, int paperLen, int paperWidth){return min({biscuits/2, vanilla*2, paperLen/20, paperWidth/10});}"
W10,Function Signature,Pattern mismatch,
T11,Function Signature,Pattern mismatch,
V11,Function Signature,Pattern mismatch,
S12,Function Signature,Pattern mismatch,
T12,Function Signature,Pattern mismatch,
V12,Function Signature,Pattern mismatch,
W12,Function Signature,Pattern mismatch,
A13,Variable Name,"Special character: "" """,const int weekly_fixed_hours
B13,Variable Name,"Special character: "" """,double overtime_rate
C13,Variable Name,Long name,"pair<int, int>dest_room; //two co-ordinates for one room in a 2D Maze"
D13,Variable Name,Long name,"vector<pair<int, int>> visited; //two co-ordinates for one room in a 2D Maze"
E13,Variable Name,Long name,vector<vector<int>> maze; //for 2D maze
